OTU ID	20-07-01-A-1	20-07-01-A-2	20-07-01-A-3	20-07-01-H-1	20-07-01-H-2	20-07-01-H-3	20-08-01-A-1	20-08-01-A-2	20-08-01-A-3	20-08-01-H-1	20-08-01-H-2	20-08-01-H-3	20-08-29-P-1	20-08-29-P-2	20-08-29-P-3	20-08-29-Q-1	20-08-29-Q-2	20-08-29-Q-3	20-09-05-A-1	20-09-05-A-2	20-09-05-A-3	20-09-05-H-1	20-09-05-H-2	20-09-05-H-3	20-09-26-P-1	20-09-26-P-2	20-09-26-P-3	20-09-26-Q-1	20-09-26-Q-2	20-09-26-Q-3	20-10-10-A-1	20-10-10-A-2	20-10-10-A-3	20-10-10-H-1	20-10-10-H-2	20-10-10-H-3	20-10-24-P-1	20-10-24-P-2	20-10-24-P-3	20-10-24-Q-1	20-10-24-Q-2	20-10-24-Q-3	20-11-07-A-1	20-11-07-A-2	20-11-07-A-3	20-11-07-H-1	20-11-07-H-2	20-11-07-H-3	20-11-28-P-1	20-11-28-P-2	20-11-28-P-3	20-11-28-Q-1	20-11-28-Q-2	20-11-28-Q-3	20-12-05-A-1	20-12-05-A-2	20-12-05-A-3	20-12-05-H-1	20-12-05-H-2	20-12-05-H-3	20-12-26-P-1	20-12-26-P-2	20-12-26-P-3	20-12-26-Q-1	20-12-26-Q-2	20-12-26-Q-3	21-01-09-A-1	21-01-09-A-2	21-01-09-A-3	21-01-09-H-1	21-01-09-H-2	21-01-09-H-3	21-01-23-P-1	21-01-23-P-2	21-01-23-P-3	21-01-23-Q-1	21-01-23-Q-2	21-01-23-Q-3	21-02-06-A-1	21-02-06-A-2	21-02-06-A-3	21-02-06-H-1	21-02-06-H-2	21-02-06-H-3	21-02-20-P-1	21-02-20-P-2	21-02-20-P-3	21-02-20-Q-1	21-02-20-Q-2	21-02-20-Q-3	21-03-06-A-1	21-03-06-A-2	21-03-06-A-3	21-03-06-H-1	21-03-06-H-2	21-03-06-H-3	taxonomy
OTU1	237	98	30	37	0	20	138	14	131	186	19	42	2125	268	321	945	69	61	39	175	195	98	30	3	3	38	38	17	0	30	401	8	209	243	485	2320	0	0	1446	51	0	478	53	976	1647	875	587	2045	5720	5333	15864	2653	64	81	44889	19887	12708	57440	80781	60295	92280	38243	31096	51510	47989	11923	99743	58941	31882	42394	25677	27278	53	113	4380	244	153	713	17391	15996	8171	75	51	1348	68	27622	65	60	10337	41269	134155	10185	21931	31427	23658	17966	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;__
OTU2	4411	2494	7481	6971	492	4445	25848	6592	10580	15487	1289	3981	1560	8438	5107	5656	3762	3308	15939	39404	13877	6949	4061	3287	817	2545	2922	5780	2487	4622	1371	2062	4561	1791	4899	4850	206	2503	2426	4638	1302	3928	1264	3626	1901	3068	1263	2323	120	1363	1422	787	1460	2846	29	1219	8134	143	658	250	321	302	962	753	330	2271	277	1288	3843	941	770	721	3243	8640	8834	4558	3237	10403	1587	1139	20054	2242	3922	2237	58	77	74	85	16	31	208	2471	3312	125	4576	2024	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Cloacibacterium;s__uncultured_bacterium
OTU3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6388	32298	46290	127	295	102	0	0	0	0	0	0	2022	34985	46663	46	19220	18697	0	0	0	0	0	0	0	13267	20379	0	0	0	0	0	0	0	233	0	0	17	266	29	133	1273	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Janthinobacterium;__
OTU4	15571	482	1104	3937	50	97	1117	226	257	188	52	85	2708	828	1154	3839	316	373	4044	3307	1349	2802	135	83	5078	676	235	7929	439	374	16780	583	1230	3774	281	186	2791	136	465	7306	282	1336	17822	1407	531	8825	108	213	3284	252	571	5591	341	730	892	30	34	814	164	71	1232	61	234	1049	70	206	1983	1203	255	2618	96	74	3019	78	130	2820	171	307	8371	71	51	8893	113	71	69	27	306	235	12	0	2375	410	403	3963	147	101	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_minor
OTU5	0	3473	322	0	4431	599	23	2045	289	0	4335	1213	0	270	22	0	327	126	0	548	2265	0	2495	1240	0	215	189	16	1506	10	0	12006	1097	0	2161	2951	0	1263	150	0	301	0	0	14621	4758	0	9451	19122	0	194	24	0	306	12	0	232	0	0	16310	11261	0	178	14	0	363	0	0	380	51	0	1588	1645	0	78	26	0	462	29	0	301	0	0	640	369	0	161	0	0	145	0	0	859	14	0	312	208	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__AKYH767;g__AKYH767;s__Bacteroidetes_bacterium
OTU6	0	2240	292	0	3929	1071	17	2016	225	0	6485	3757	9	28	0	0	362	521	0	1078	411	4	6957	4657	0	0	0	14	63	0	0	1797	1294	0	4034	1706	0	21	8	0	26	0	0	5646	2002	0	3339	5382	0	7	18	0	230	21	0	133	0	0	5249	3090	0	24	0	0	72	0	0	399	319	5	4271	3837	0	10	18	0	57	0	0	2050	41	0	8954	6477	15	94	0	0	46	116	0	4000	111	0	12818	11153	d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__C10-SB1A;f__C10-SB1A;g__C10-SB1A;s__metagenome
OTU7	234	151	558	159	35	156	11917	787	956	5119	283	342	1286	953	2253	5030	1802	2413	507	1638	2234	711	254	147	721	472	797	4833	722	1172	127	343	706	41	174	309	194	574	1367	6768	1598	2787	251	565	422	126	148	237	80	743	1206	430	1048	1996	0	3	15	6	240	113	109	352	2162	303	613	3780	74	260	698	16	326	315	2701	6642	6675	3122	2805	7798	794	115	165	48	894	732	43	0	65	58	0	0	82	1446	1707	25	1340	890	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Arcobacter;s__Arcobacter_cryaerophilus
OTU8	0	18	0	0	518	132	0	0	0	0	2850	609	0	16	0	0	56	178	0	7	15	0	4813	1678	0	19	0	11	23	0	0	100	733	0	4892	3162	0	47	9	0	0	0	0	16	4	0	12393	18616	0	14	0	0	0	0	0	0	0	0	25246	18492	0	0	0	0	0	0	0	0	0	0	3710	3965	0	4	0	0	0	0	0	0	0	0	2335	1302	0	14	0	0	0	7	0	12	0	0	543	408	d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__uncultured;s__uncultured_Chloroflexi
OTU9	744	94	246	945	51	136	30	61	63	21	48	45	789	358	337	402	48	49	180	192	150	284	48	35	2973	564	132	925	77	55	663	59	139	446	76	27	2735	103	353	1252	157	792	723	153	52	2060	64	116	8912	523	1189	3397	230	287	574	0	18	801	110	70	1841	97	413	265	42	67	184	109	100	3801	136	110	2401	1957	378	1387	196	308	799	33	28	3922	190	40	10210	14	23236	11196	12	6	323	174	206	1789	274	91	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__uncultured;s__uncultured_bacterium
OTU10	651	320	683	6334	79	426	2027	440	477	2867	222	762	546	1929	1063	1506	569	446	3528	3550	2285	9467	1612	585	414	286	312	1289	246	296	847	660	825	5271	1757	1533	488	182	365	1702	276	876	481	913	323	2945	779	1229	75	341	244	368	232	485	36	0	33	145	323	125	32	115	336	65	112	437	18	104	242	894	448	379	470	713	1047	1034	965	2223	305	73	59	8548	2323	1834	42	5	130	75	0	0	86	509	475	1427	2363	998	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter_towneri
OTU11	23	649	1709	127	737	2364	4021	2879	1846	4745	1801	2125	0	500	193	66	1574	1574	206	1714	3705	69	1121	1284	58	406	335	349	745	622	18	1283	1401	16	1306	1162	0	238	349	24	996	2407	14	2480	1434	31	1311	1741	3	544	375	18	796	1656	0	0	8	0	448	201	4	143	473	0	351	1826	27	81	598	68	726	523	74	2140	1297	33	2468	4797	33	250	326	0	2450	1228	0	0	8	0	0	0	5	1945	1602	0	2251	1110	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Aquaspirillaceae;g__Rivicola;s__Aquaspirillum_sp.
OTU12	0	21	0	14	0	30	11	5160	7580	22	24	0	7	9366	3022	52	55	51	13	202	61	0	23	14	328	7379	5367	44	48	0	20	20	23	15	0	39	9	76	36	61	36	43	5	64	33	25	33	47	0	228	245	0	64	98	0	6153	24856	0	26	20	0	22	46	31	0	34	0	68	314	24	30	0	47	139	544	64	165	332	9	1193	5915	35	77	56	6	1583	0	0	1072	492	0	61	66	0	85	114	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium_sasangense
OTU13	1466	27	14	5347	0	16	169	34	22	363	52	12	1069	179	252	2247	46	39	541	1027	286	1082	82	55	1133	279	43	1756	58	34	5788	225	222	2517	128	138	1127	45	91	5237	27	56	3527	133	65	5718	114	216	1637	23	61	2658	41	82	1311	15	14	569	244	100	1125	120	64	1763	42	41	427	362	21	2670	62	45	4609	250	48	4585	116	129	2474	20	0	2996	144	87	1051	0	2469	1715	0	0	857	63	31	1476	78	51	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Brachymonas;__
OTU14	202	415	1353	189	74	242	4081	1082	1265	2735	124	476	159	1838	833	549	904	945	788	3717	2240	146	606	461	132	519	778	311	376	821	43	558	913	21	1711	1410	30	594	1013	333	560	1986	39	864	558	157	324	495	11	990	834	29	265	533	21	29	107	26	463	204	54	235	636	78	174	663	39	198	820	238	777	697	479	2621	4163	214	646	1532	68	76	143	43	1057	793	82	2	200	94	0	11	11	1356	1506	0	1683	899	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Macellibacteroides;__
OTU15	351	124	1302	509	28	182	1633	740	2047	1965	283	1433	953	1051	5110	2126	1750	2288	548	1027	2244	608	333	348	486	514	826	1581	902	1433	57	101	446	33	208	297	117	339	1475	1786	1172	4230	114	190	128	161	60	80	7	507	822	52	427	1128	0	0	6	0	36	27	35	112	1024	52	115	1110	34	35	245	0	55	45	624	3409	4821	1192	853	2810	132	15	74	76	405	158	0	0	0	0	16	0	35	173	431	0	236	90	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Tolumonas;__
OTU16	4599	263	525	4611	67	209	1286	659	581	509	163	191	2031	290	350	3849	282	147	5180	1869	1162	2460	458	243	1647	259	46	4824	168	56	6192	655	767	1187	367	274	1137	33	63	3698	132	329	4777	490	258	1968	163	233	216	25	41	864	98	175	0	0	0	0	23	0	121	0	129	35	15	45	31	116	94	135	34	23	1604	58	72	1088	87	138	963	0	25	224	174	116	0	0	0	0	0	0	84	218	220	89	199	128	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Conchiformibius;s__Neisseria_canis
OTU17	0	224	2010	0	232	1002	93	26	200	0	111	51	0	4800	15801	0	1190	1793	152	326	3378	0	210	108	663	9569	12116	0	138	489	0	160	439	0	287	613	0	1946	2646	0	962	1791	0	171	143	0	289	932	0	164	345	0	596	1356	0	8	22	0	270	136	0	131	1063	0	1913	5079	222	349	4303	0	105	76	25	305	821	0	82	204	0	27	76	0	87	68	0	54	0	0	0	0	0	142	537	0	115	88	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Candidatus_Woesebacteria;f__Candidatus_Woesebacteria;g__Candidatus_Woesebacteria;__
OTU18	3087	3950	2183	6363	1416	936	1924	3250	7466	1774	2929	1137	1562	3963	2474	3764	3835	5599	4355	4711	4389	2795	1967	1106	2612	13024	24017	4003	3357	3342	3096	5017	3193	1699	1665	1711	1501	6975	5148	5163	1241	1470	2532	12049	3342	4358	2667	3879	1069	1676	1070	2084	1774	1318	331	238	115	1331	3521	2044	655	1029	1508	1004	1649	1098	256	733	1158	8066	1344	1025	2851	2503	2098	4710	3489	4162	1777	1738	2224	3547	2989	2414	1004	1104	2154	1321	5368	5999	695	3370	1323	2010	2924	1004	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;__;__
